id,agent_id,organization_id,capability,scope,status,issued_at,expires_at
cap-016,agent-006,org-002,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-017,agent-006,org-002,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-018,agent-006,org-002,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-019,agent-007,org-002,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-020,agent-007,org-002,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-021,agent-007,org-002,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-022,agent-008,org-002,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-023,agent-008,org-002,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-024,agent-008,org-002,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-025,agent-009,org-002,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-026,agent-009,org-002,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-027,agent-009,org-002,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-028,agent-010,org-002,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-029,agent-010,org-002,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-030,agent-010,org-002,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-031,agent-011,org-003,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-032,agent-011,org-003,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-033,agent-011,org-003,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-034,agent-012,org-003,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-035,agent-012,org-003,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-036,agent-012,org-003,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-037,agent-013,org-003,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-038,agent-013,org-003,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-039,agent-013,org-003,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-040,agent-014,org-003,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-041,agent-014,org-003,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-042,agent-014,org-003,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-043,agent-015,org-003,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-044,agent-015,org-003,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-045,agent-015,org-003,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-046,agent-016,org-004,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-047,agent-016,org-004,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-048,agent-016,org-004,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-049,agent-017,org-004,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-050,agent-017,org-004,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-051,agent-017,org-004,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-052,agent-018,org-004,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-053,agent-018,org-004,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-054,agent-018,org-004,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-055,agent-019,org-004,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-056,agent-019,org-004,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-057,agent-019,org-004,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-058,agent-020,org-004,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-059,agent-020,org-004,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-060,agent-020,org-004,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-061,agent-021,org-005,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-062,agent-021,org-005,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-063,agent-021,org-005,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-064,agent-022,org-005,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-065,agent-022,org-005,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-066,agent-022,org-005,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-067,agent-023,org-005,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-068,agent-023,org-005,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-069,agent-023,org-005,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-070,agent-024,org-005,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-071,agent-024,org-005,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-072,agent-024,org-005,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-073,agent-025,org-005,read_data,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-074,agent-025,org-005,analyze_risk,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
cap-075,agent-025,org-005,send_notification,organization,ACTIVE,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00
